gene,logFC,AveExpr,P.Value,adj.P.Val,B
Itgb7,1.975486721434805,1.2739029280497718,6.151281850588531e-10,8.011596701518946e-08,0.0
Mb21d2,2.221641304508549,4.074821056444145,7.347280788558794e-10,8.73227313320891e-08,0.0
Sil1,-1.30845526651302,4.849251601744083,7.355548744335496e-10,8.73227313320891e-08,0.0
Elovl4,4.89856705904574,2.8302125782410275,7.09120339452958e-10,8.73227313320891e-08,0.0
Tspan18,4.96550301956364,3.058425679607993,6.798058091834587e-10,8.73227313320891e-08,0.0
Lrig1,1.4843049935612722,6.829848369659978,7.082940479802223e-10,8.73227313320891e-08,0.0
Cnn1,8.902370726839838,6.423038854090003,7.2503732493687e-10,8.73227313320891e-08,0.0
Cpxm2,6.51128861106724,3.7273954528400335,7.315127230408422e-10,8.73227313320891e-08,0.0
B4galt2,3.501616487155766,2.736426672567809,7.230928643736803e-10,8.73227313320891e-08,0.0
Gpr161,3.31096112464832,1.974520548216181,7.329041029397863e-10,8.73227313320891e-08,0.0
Ppic,4.549072599394785,3.6175752969209967,6.942767844381131e-10,8.73227313320891e-08,0.0
Kctd4,4.9933951936531935,2.638178277062835,7.633892598360115e-10,8.974114236572176e-08,0.0
Pcdhb10,1.9088826819294924,1.2067245746406063,7.693053575891168e-10,8.974114236572176e-08,0.0
Slc22a18,-3.3476972857639598,2.013022561963994,7.912177061325742e-10,9.15015993773145e-08,0.0
Adgrb1,1.8946209306384245,0.9581393633324705,8.200587040368884e-10,9.402638901414408e-08,0.0
Slit3,6.143353367824647,3.9882895195085912,8.543744167983522e-10,9.713078645211775e-08,0.0
Tbx21,1.8944978817867548,1.0704420902487521,9.087268375665708e-10,1.0244176912567687e-07,0.0
Dpysl3,6.307253997459897,4.09056383400157,9.460416545715781e-10,1.0422498569751817e-07,0.0
Angptl2,6.114990117849427,4.173148621231824,9.478530193885363e-10,1.0422498569751817e-07,0.0
Fstl1,6.307405672302657,5.357411111953929,9.332720574387195e-10,1.0422498569751817e-07,0.0
Tagln,7.604415507817538,8.443451278887585,9.868710869570706e-10,1.0689719138376335e-07,0.0
Zcchc18,2.67730538444482,1.4401156607921972,9.88091817486892e-10,1.0689719138376335e-07,0.0
Niban1,6.822492051124309,6.037479703422684,1.0861188220575848e-09,1.1656227198322e-07,0.0
Reep1,3.7348975384820364,2.171731978165005,1.1362629235795314e-09,1.2002336314818437e-07,0.0
Capn6,5.758525748610542,3.097153227031702,1.1308635288495133e-09,1.2002336314818437e-07,0.0
Aldh2,1.692122773552252,7.775553112680011,1.1555511411756905e-09,1.2110717624118663e-07,0.0
Chst15,5.69199328019823,3.454143483874358,1.1656719004420246e-09,1.2122084142968806e-07,0.0
Cxcl14,8.628535617665152,6.882464899545777,1.1958601675641543e-09,1.2340357036825484e-07,0.0
Jph2,6.608414489968568,3.773279293893154,1.2521600739622975e-09,1.2725551054700168e-07,0.0
Ly6g6e,-2.3893374177907485,1.3465151043184382,1.2456388948248635e-09,1.2725551054700168e-07,0.0
Sigirr,-2.991091856006932,3.1490311605390686,1.2672274733295114e-09,1.2781847033620598e-07,0.0
Edaradd,2.876489373883315,1.5304422291187922,1.2802766148322858e-09,1.2817097602966504e-07,0.0
Nsg1,3.2233920726330276,2.5633536135016057,1.2911370781396706e-09,1.283007696536569e-07,0.0
Gm12454,4.436542913124782,2.4831442163360773,1.3099117751119693e-09,1.292093122288755e-07,0.0
Sytl4,-2.004315871865292,1.6372111673772907,1.361288216744603e-09,1.3329694472721787e-07,0.0
Clcn3,-3.5542724455931887,5.115405698853529,1.4711606743900853e-09,1.4198288091325896e-07,0.0
Ppp2r2b,3.6525779367068765,2.1039845658830623,1.4648030239828523e-09,1.4198288091325896e-07,0.0
Spata25,1.327968391205062,0.6746781764011781,1.5401270752672615e-09,1.475771765336451e-07,0.0
Shroom1,-2.4876834228359264,3.6288022370837325,1.6065919541281575e-09,1.5285412102573926e-07,0.0
